,productName,brand,price,fabricType,closureType,countryOfOrigin,describe,productDescription,ratings,rate
958,BOSS Men's Tapered Twill Cotton Mix Casual Pants, BOSS,113.91,"69% polyester, 14% viscose, 12% polyamide, 5% elastane",Drawstring,Vietnam,Drawstring closure,These tapered shorts are made in a summer twill fabrication with pockets on both sides. The shorts have an elastic waistband with a drawstring and come in strong summer colors,7.0,4.6
959,Mossy Oak Fishing Shorts for Men Quick Dry Flex, Mossy Oak,37.59,"92% Polyester, 8% Elastane",Button,China,DESIGN: These lightweight mens shorts are made from quick drying 92% polyester/8% elastane blended stretch material for maximum comfort - all Powered by Hydroplex Technology.,"COMFORT These fishing shorts for men are made from quick drying, 92% polyester/8% elastane blended stretch material that's lightweight with a comfort fit elastic waistband. FAST DRYING Advanced moisture wicking & breathability for a natural cooling effect that offers up to 30% reduction in body surface temperature while also providing 40+ UPF protection. Extremely lightweight and quick drying for all outdoor activity in and out of the water. MULTI-PURPOSE The comfortable, stretchy material with cooling and moisture wicking capabilities make these shorts ideal for all outdoor activity. Perfect for fishing, hiking, exercising and also look great for casual wear. POCKET STORAGE Features ample storage for all of your gear with two slash hand pockets, two back buttoned pockets, one left leg front pocket for lined for pliers or multi-tool, three right leg front pockets, and one right side pocket with elastic band for a can, bottle, or phone.",713.0,4.4
960,True Religion Men's Classic Logo Slim Fit Jogger Sweatpant, True Religion,59.0,100% Cotton,Drawstring,India,Elastic waistband drawstring closure,This ultra-comfortable jogger pant for men Features an elasticized drawstring waist and tapered ankle cuff. Finished with side on seam pockets and horseshoe logo on the hip.,36.0,4.3
961,Ariat mens M2 Relaxed Fit Bootcut Jean, ARIAT,59.95,100% Cotton,Zipper,Mexico,"STACKABLE BOOT CUT: Go-anywhere, do-anything denim, these bootcut jeans are relaxed through the waist, hip and thigh for the most comfortable fit, all day long; Show off your boots with the stackable design, creating a perfect over-the-boot silhouette","The M2 granite is relaxed through the waist, hip and thigh with a stackable boot cut leg opening. The fabric is a medium wash with hand sanding and whiskering.",330.0,4.6
962,TINGLEY Men's Rain Pants, TINGLEY,39.37,100% Polyester,Drawstring,China,Plain front pants,"Storm flex - lightweight, medium duty rainwear Designed for 100% waterproof protection, generously cut for freedom of movement & comfort. Contemporary styling & lightweight waterproof protection make storm flex an ideal rain suit. Ideal applications: active recreation.",16.0,4.3
963,"Haggar Men's Premium Stretch Tailored Fit Subtle Pattern Suit Separates Jackets, Grey-Pant, 38Wx29L", Haggar,55.83,"83% Polyester, 15% Viscose, 2% Elastane",Bangladesh,Không xác định,SUIT SEPARATES: Enjoy the benefit of looking polished while feeling comfortable when you choose your customized suit jacket and suit pant size. Simply select your jacket and pant sizes and add them to the cart separately,"Step into sophistication with the J.M. Haggar™ Tailored Fit Micro Dobby Suit Separate Pant – a pinnacle of contemporary tailoring designed for the modern gentleman. The tailored fit, enhanced by a 2-button closure and notched lapel, exudes refined elegance that seamlessly transitions from office to after-hours engagements. With side vents for ease of movement, 4 sleeve buttons, and flap pockets for functional flair, every detail is meticulously crafted. Engineered with a made-to-stretch fabric and adorned with a micro dobby pattern, these pants strike the perfect balance between comfort and style, ensuring a polished look that complements your dynamic lifestyle.",3.0,4.6
964,BOSS Men's Soft Washed Relaxed Fit Trousers, BOSS,86.54,"71% Cotton, 26% Polyester, 3% Elastane",Zipper,Sri Lanka,Soft Washed Relaxed Fit Trousers,Không có,2.0,4.5
965,Under Armour mens Revenant Woven Stretch Pants, Under Armour,324.77,100% Knit,Pull On,Không xác định,UA Storm technology repels water without sacrificing breathability,"UA Storm technology repels water without sacrificing breathability. Brushed, acrylic-wool fabric is extremely durable & insanely quiet with Scent Control fleece liner to keep you dry & undetected. GORE-TEX WINDSTOPPER is windproof but breathable keeping you protected from even the harshest weather. Strategic THERMOLITE insulation (200g seat & thigh/160g leg) to give you extra warmth where you need it. Stretch-engineered waistband with higher back rise for added coverage & security. Full-length side zips for quick & easy on/off in the field. Heavily articulated moto knees provide unprecedented mobility & no-lift-fit",4.0,3.9
966,"Propper Men's Edgetec Pants, Black, W: 40'' x Large: 36''", Propper,31.14,100% Polyester,Snap,Bangladesh,Durable water repellent (DWR) treatment resists dirt and moisture,"Pockets where you need them, super lightweight durability that lasts, the Men's 5-Pocket EdgeTec Slick Pant delivers the performance you need in the field.",Không có,Không có
967,Lacoste Men's Solid Stretch Denim Slim-fit Pant, Lacoste,87.04,"98.0% Cotton,2.0% Elastane",Drawstring,Paraguay,To be updated.,Không có,33.0,4.4
