,productname,brand,price,fabrictype,closuretype,countryoforigin,productdescription,ratings,rate,about,product_id,brand_id
363,Columbia Men's Brewha Ii Short, Columbia,45.0,100% Cotton,Pull On,India,"These shorts are designed for comfort on the water with built-in UPF 50, a partial elastic waist, and a special pocket just for your beverage. Look for hook and loop closures on cargo pockets, two hand pockets — make that ""beverage"" pockets, and zippered back pocket, plus a D ring to clip a bottle opener or other gear to keep at the ready. Made from 100% cotton. These men’s shorts come in multiple colors and sizes. 7” inseam. Extended sizing available. Relaxed Fit. To ensure the size you choose is just right, please refer to our sizing chart. To find your waist measurement, measure around your natural waistline.",369,4.5,ADVANCED TECHNOLOGY: Columbia Men's Brewha II short features our signature UPF 50 fabric for protection against harmful UVA and UVB rays and skin damage.,364,19
364,Hurley Men's Boxed Logo Fleece Jogger, Hurley,46.62,100% Polycotton,Drawstring,Egypt,Hurley Men's Fleece Joggers are made with soft fleece for a dry and comfortable fit with extra room to maximize lounging.,310,4.6,Separate elastic waistband with drawcord,365,37
365,Columbia Men's Sage Peak Chino Pant, Columbia,44.63,"96% Polyester, 4% Elastane",Button,Vietnam,Look and feel good whatever the weather with our latest clothing and gear built to keep you comfortable and protected throughout the season.,Unknown,3,"OMNI-SHIELD: For light precipitation and everyday protection against stains, this garment repels rain, resists stains, and dries quickly.",366,19
366,Brooks Brothers Men's Regular Fit Lightweight Advantage Chino Pants, Brooks Brothers,82.6,"97% Cotton, 3% Spandex",Zipper,Vietnam,New and Improved. Your favorite pant with 2% stretch for ultimate comfort all day! Non-Iron Finish. Quarter top pockets and back welt pockets with button closure. New innovative comfort waistband,4,4.7,Your favorite pant with 2% stretch for ultimate comfort all day!,367,11
367,Brooks Brothers Men's Washed Cotton Stretch Cargo Pants, Brooks Brothers,62.04,"97% Cotton, 3% Spandex",Zipper,Vietnam,"These cargo pants come in washed cotton with stretch for comfort. Features a zip-fly with button, cargo and back pockets, and side pockets with flap that can also be tucked in to look like a welt pocket. Finished with corozo buttons and side adjusters. Slim fit with taper at leg opening.",34,4.2,"These cargo pants are made of washed cotton with spandex stretch for a soft, casual, comfortable feel, featuring a taper at the leg opening for a streamlined look and functional fit that's great for travel",368,11
368,Volcom Men's Solver Denim Jean, Volcom,58.75,"92% Cotton, 7% Recycled Polyester, 1% Elastane",Zipper,China,"The nova solver is a modern straight fit jean with basic 5-pocket styling. Featuring minimal logging, updated pocketing, hidden cell phone pocket, asymmetrical back yoke and a 16 inch leg opening. The solver has just a little stretch added for maximum mobility and comes in three different inseam options this season.",106,4.5,"Modern fit straight leg 16"" leg opening, sits below waist",369,77
369,Nautica Men's Vintage Straight Denim Jeans, Nautica,61.99,"78% cotton, 20% recycled cotton, 2% spandex",Button,Bangladesh,"A welcome departure from your standard everyday basic, these straight-leg jeans have all the design appointments you want-five-pocket styling, classic fit, button-and-zip closure-but in a cooler, more modern grey wash. They dress up or down, no sweat. From Nautica.",1690,4.4,SUSTAINABLY CRAFTED: Our Real Denim collection is designed for the environmentally conscious; better jeans for a bluer world,370,51
370,GAP Men's Slim Fit Jeans, GAP,35.76,100% Cotton,Pull On,Bangladesh,"Modern American Optimism is in our DNA. Since 1969, we have acted as a force for good. Bridging the gaps between generations, backgrounds, and ideas through the honesty (and hope) of our eternal youthful energy.",75,4.4,"Gap champions a uniquely American sense of style with apparel that bridges the gaps between individuals, generations, and cultures",371,29
371,Russell Athletic Men's Mesh Pocket Short, Russell Athletic,13.99,100% Polyester,Elastic,Lesotho,"Hey classic, meet versatile performance and amazing comfort in the Russell Athletic Men’s Mesh Short with Pockets. Built with our Dri-Power moisture wicking technology, combined with breathable mesh construction offers great ventilation, so you stay cool and dry during your workout. Elastic waistband with internal draw cord for an adjustable fit. Side pockets to store all of your small essentials. An athletic staple, great for anything from playing basketball to jogging to running errands to just relaxing around the house on a warm day. 9” Inseam",9556,4.4,STAY COOL & DRY: These Russell Athletics Men's Mesh Gym Shorts are made from 100% polyester with Dri-Power moisture-wicking technology to keep you cool and dry during your workouts,372,62
372,GAP Men's Slim Taper Fit Denim Jeans, GAP,39.99,"54% Flax(Linen), 44% Cotton, 2% Elastane",Zipper,Vietnam,"Our best-selling slim jeans are lean, but never tight. Versatile enough to wear day or night, work or weekend. This is real denim. Made to last. Made so you can be you.",1042,4.4,"THE PERFECT SLIM FIT: Cut slim through the hips and thighs and tapered at the ankle, these jeans are made from super soft premium denim with GapFlex stretch technology that’s engineered to upgrade your comfort",373,29
